,Cumulative,Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Region,Still admitted,Tests  performed in last 24 hours
13,18900,2008,18900,17-04-20,576,45,1120,2874,Sindh,267,2874
6,1175,48,1175,18-04-20,9,0,0,40,AJK,39,40
7,5025,335,4812,18-04-20,142,5,148,535,Balochistan,40,385
8,2313,250,2021,18-04-20,192,3,50,381,GB,5,217
9,5479,163,5479,18-04-20,20,1,129,329,ICT,13,329
10,6140,1077,5311,18-04-20,216,50,531,382,KP,280,426
11,31245,3391,52478,18-04-20,672,37,1895,1919,Punjab,787,2647
13,21272,2217,21272,18-04-20,581,47,872,2372,Sindh,717,2372
6,1229,48,1229,19-04-20,9,0,0,54,AJK,39,54
7,5485,376,5085,19-04-20,144,5,176,460,Balochistan,51,273
8,2429,257,2169,19-04-20,193,3,56,116,GB,5,2021
9,5857,171,5857,19-04-20,20,2,134,378,ICT,15,378
10,6531,1137,6003,19-04-20,226,60,557,391,KP,294,692
11,33199,3649,55241,19-04-20,684,41,1932,1954,Punjab,992,2763
13,22938,2355,22938,19-04-20,592,48,951,1666,Sindh,764,1666
6,1275,49,1275,20-04-20,10,0,0,46,AJK,39,46
7,5793,432,5315,20-04-20,152,5,207,308,Balochistan,68,230
8,2657,263,2430,20-04-20,194,3,62,228,GB,4,261
9,5976,181,5976,20-04-20,20,3,142,119,ICT,16,119
10,7090,1235,6544,20-04-20,267,67,605,559,KP,296,541
11,34084,3721,58304,20-04-20,702,42,1975,885,Punjab,1002,2156
13,24458,2537,24458,20-04-20,625,56,1065,1520,Sindh,791,1520
6,1355,50,1355,21-04-20,16,0,0,80,AJK,34,80
7,6391,465,5636,21-04-20,161,6,231,598,Balochistan,67,321
8,2827,281,2604,21-04-20,195,3,79,170,GB,4,174
9,6224,185,6224,21-04-20,20,3,148,248,ICT,14,248
10,8340,1276,9360,21-04-20,297,74,577,755,KP,328,579
11,35890,4195,60649,21-04-20,742,45,2257,1806,Punjab,1151,2345
13,26058,2764,26058,21-04-20,635,61,1223,1600,Sindh,845,1600
6,1416,51,1416,22-04-20,23,0,0,6,AJK,28,6
7,7650,552,6130,22-04-20,168,8,294,619,Balochistan,82,329
8,3047,290,2859,22-04-20,201,3,76,118,GB,10,141
9,6931,204,6931,22-04-20,26,3,167,483,ICT,8,483
10,9828,1453,10837,22-04-20,414,83,605,704,KP,351,1009
11,38965,4590,66030,22-04-20,790,58,21452,1812,Punjab,1290,2635
13,30346,3373,30346,22-04-20,715,69,1579,2097,Sindh,1010,2097
6,1471,55,1471,23-04-20,0,0,0,55,AJK,30,55
7,8358,607,6504,23-04-20,346,8,0,708,Balochistan,79,374
8,3239,300,2998,23-04-20,75,3,0,192,GB,10,182
9,7519,214,7519,23-04-20,173,3,0,588,ICT,12,588
10,10954,1541,11963,23-04-20,628,85,0,1126,KP,373,1126
11,40157,4767,67882,23-04-20,2497,65,0,1192,Punjab,1300,1832
13,33028,3671,33028,23-04-20,1805,73,0,2682,Sindh,1063,2682
6,1522,55,1522,24-04-20,0,0,0,51,AJK,27,51
7,8794,656,6742,24-04-20,393,10,0,436,Balochistan,77,236
8,3434,307,3162,24-04-20,81,3,0,195,GB,10,164
9,8059,223,8059,24-04-20,177,3,0,540,ICT,14,540
10,12100,1708,13109,24-04-20,738,89,12,1146,KP,409,1146
11,41126,5046,69971,24-04-20,2577,73,20,969,Punjab,1331,2089
13,35582,3945,35582,24-04-20,1893,75,14,2554,Sindh,1205,2554
6,1588,55,1588,25-04-20,0,0,0,66,AJK,23,66
7,10404,722,7212,25-04-20,449,11,0,1610,Balochistan,86,470
8,3591,308,3273,25-04-20,79,3,0,157,GB,10,111
9,8455,235,8455,25-04-20,188,3,0,396,ICT,15,396
10,12921,1793,13930,25-04-20,760,93,10,821,KP,455,821
11,42456,5378,71726,25-04-20,2577,81,25,1330,Punjab,1594,1755
13,38181,4232,38181,25-04-20,2146,78,14,2599,Sindh,1206,2599
6,1588,55,1588,26-04-20,32,0,0,66,AJK,23,66
7,10404,722,7212,26-04-20,176,11,449,1610,Balochistan,86,470
8,3591,308,3273,26-04-20,216,3,79,157,GB,10,111
9,8455,235,8455,26-04-20,29,3,188,396,ICT,15,396
10,12921,1793,13930,26-04-20,485,93,760,821,KP,455,821
11,42456,5378,71726,26-04-20,1126,81,2577,1330,Punjab,1594,1755
13,38181,4232,38181,26-04-20,802,78,2146,2599,Sindh,1206,2599
6,1692,59,1692,27-04-20,35,0,0,104,AJK,24,104
7,11279,781,7582,27-04-20,176,13,502,875,Balochistan,90,370
8,3675,318,3398,27-04-20,219,3,86,84,GB,10,125
9,8753,245,8753,27-04-20,29,3,198,298,ICT,15,298
10,13880,1864,14889,27-04-20,515,98,767,959,KP,484,959
11,42684,5446,73226,27-04-20,1183,83,2578,228,Punjab,1602,1500
13,41216,4615,41216,27-04-20,872,81,2432,3035,Sindh,1230,3035
6,1713,65,1713,28-04-20,35,0,0,21,AJK,30,21
7,12337,853,7991,28-04-20,176,14,570,1058,Balochistan,93,409
8,3736,320,3515,28-04-20,222,3,85,61,GB,10,117
9,9247,261,9247,28-04-20,36,4,203,494,ICT,18,494
10,14728,1984,15737,28-04-20,533,104,847,848,KP,500,848
11,44999,5640,75071,28-04-20,1306,91,2579,2315,Punjab,1664,1845
13,43949,4956,43949,28-04-20,925,85,2705,2733,Sindh,1241,2733
6,1826,65,1826,29-04-20,37,0,0,113,AJK,28,113
7,13286,915,8504,29-04-20,176,14,632,949,Balochistan,93,513
8,3933,330,3647,29-04-20,224,3,94,197,GB,9,132
9,9705,297,9705,29-04-20,36,4,238,458,ICT,19,458
10,15540,2160,16549,29-04-20,562,114,988,812,KP,496,812
11,47151,5827,77619,29-04-20,1427,100,2581,2152,Punjab,1719,2548
13,48061,5291,48061,29-04-20,963,92,2913,4112,Sindh,1323,4112
6,1958,66,1958,30-04-20,37,0,0,132,AJK,29,132
7,14187,978,8820,30-04-20,180,14,696,901,Balochistan,88,316
8,4176,333,3791,30-04-20,228,3,92,243,GB,10,144
9,10435,313,10435,30-04-20,44,4,244,730,ICT,21,730
10,16443,2313,17452,30-04-20,614,122,1001,903,KP,576,903
11,49573,6061,79914,30-04-20,1780,103,2581,2422,Punjab,1597,2295
13,51790,5695,51790,30-04-20,1169,100,3187,3729,Sindh,1239,3729
6,2038,66,2038,01-05-20,43,0,0,80,AJK,23,80
7,15335,1049,9435,01-05-20,183,14,762,1148,Balochistan,90,615
8,4370,339,3932,01-05-20,248,3,78,194,GB,10,141
9,11194,343,11194,01-05-20,44,4,277,759,ICT,18,759
10,17495,2627,18504,01-05-20,654,146,1211,1052,KP,616,1052
11,53262,6340,82651,01-05-20,1921,106,2610,3689,Punjab,1703,2737
13,54377,6053,54377,01-05-20,1222,112,3473,2587,Sindh,1246,2587
6,2054,66,2054,02-05-20,0,0,0,16,AJK,23,16
7,15653,1136,9821,02-05-20,847,16,1,318,Balochistan,90,386
8,4590,340,4146,02-05-20,72,3,0,220,GB,10,214
9,11689,365,11689,02-05-20,302,4,0,495,ICT,15,495
10,18480,2799,19489,02-05-20,1322,161,12,985,KP,626,985
11,56722,6733,88899,02-05-20,2610,115,6,3460,Punjab,1803,3684
13,57761,6675,57761,02-05-20,4044,118,16,3384,Sindh,1218,3384
6,2227,71,2227,04-05-20,0,0,0,42,AJK,27,42
7,15927,1218,10326,04-05-20,917,21,0,92,Balochistan,83,317
8,5069,364,4439,04-05-20,91,3,0,268,GB,10,146
9,12704,415,12704,04-05-20,339,4,2,415,ICT,16,415
10,20900,3129,21909,04-05-20,1535,180,9,1338,KP,603,1338
11,67908,7524,96854,04-05-20,2775,124,7,6021,Punjab,1958,4232
13,64052,7465,64052,04-05-20,4638,130,17,3032,Sindh,1142,3032
6,2281,71,2281,05-05-20,0,0,0,54,AJK,22,54
7,16110,1321,10633,05-05-20,1014,21,2,183,Balochistan,89,271
8,5160,372,4581,05-05-20,80,3,0,91,GB,10,142
9,13697,464,13697,05-05-20,383,4,4,993,ICT,21,993
10,21683,3288,22692,05-05-20,1578,185,14,783,KP,669,783
11,74533,8103,101897,05-05-20,2779,136,7,6625,Punjab,2472,5043
13,66623,7882,66623,05-05-20,4994,137,16,2571,Sindh,1122,2571
6,2391,76,2391,06-05-20,54,0,0,110,AJK,22,110
7,16334,1495,11496,06-05-20,206,21,1201,224,Balochistan,67,863
8,5284,386,4748,06-05-20,282,3,79,124,GB,22,167
9,14585,485,14585,06-05-20,56,4,407,888,ICT,18,888
10,22553,3499,23562,06-05-20,875,194,1797,915,KP,633,870
11,79911,8420,106927,06-05-20,3073,156,2779,5378,Punjab,2412,5030
13,69973,8189,68873,06-05-20,1671,148,5139,3350,Sindh,1231,2250
6,2471,76,2471,07-05-20,57,0,0,80,AJK,19,80
7,16470,1659,12289,07-05-20,209,22,1361,136,Balochistan,67,793
8,5565,388,4876,07-05-20,288,3,76,281,GB,21,128
9,15607,521,15607,07-05-20,56,4,442,1022,ICT,19,1022
10,23975,3712,24984,07-05-20,939,203,1899,1422,KP,671,1422
11,86398,9077,112007,07-05-20,3184,175,2779,6487,Punjab,2939,5080
13,72544,8640,72544,07-05-20,1731,157,5528,2571,Sindh,1224,3671
6,2518,78,2518,08-05-20,58,0,0,47,AJK,20,47
7,16705,1725,13241,08-05-20,209,24,1448,235,Balochistan,44,952
8,5658,394,5007,08-05-20,292,3,86,93,GB,13,131
9,16666,558,16666,08-05-20,72,4,464,1059,ICT,18,1059
10,25522,3956,26531,08-05-20,984,209,2059,1547,KP,704,1547
11,92781,10033,117206,08-05-20,4062,183,2779,6383,Punjab,3009,5199
13,76078,9093,76078,08-05-20,1853,171,5858,3534,Sindh,1211,3534
6,2668,79,2668,09-05-20,60,0,0,150,AJK,19,150
7,16822,1876,13771,09-05-20,222,24,1586,117,Balochistan,44,530
8,5886,421,5135,09-05-20,298,3,108,228,GB,12,128
9,17657,609,17657,09-05-20,72,4,504,991,ICT,29,991
10,26981,4327,27990,09-05-20,1033,221,2267,1459,KP,806,1459
11,96701,10471,121194,09-05-20,4131,191,2779,3920,Punjab,3370,3988
13,81610,9691,81610,09-05-20,1940,175,6422,5532,Sindh,1154,5532
6,2780,86,2780,10-05-20,60,0,0,112,AJK,26,112
